Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Barcelona,Lionel Messi,0,0,1,7,23,8.36
Deportivo La Coruna,Lucas Pérez,0,0,0,0,0,8.20
Barcelona,Neymar,0,0,2,10,40,8.04
Real Madrid,Toni Kroos,3,0,10,31,74,7.68
Deportivo La Coruna,Davy Roef,0,0,0,1,0,7.60
Real Madrid,Cristiano Ronaldo,3,0,15,8,6,7.54
Barcelona,Luis Suárez,2,0,26,11,17,7.51
Villarreal,José Ángel,3,0,24,15,24,7.44
Real Madrid,James Rodríguez,0,0,4,12,28,7.36
Las Palmas,Jonathan Viera,0,1,1,10,44,7.34
Atletico Madrid,Antoine Griezmann,3,0,13,18,46,7.33
Villarreal,Bruno Soriano,26,0,84,85,67,7.31
Real Sociedad,Asier Illarramendi,11,1,58,118,102,7.30
Atletico Madrid,Filipe Luís,10,1,48,63,118,7.30
Deportivo Alaves,Marcos Llorente,8,0,52,86,122,7.29
Atletico Madrid,Diego Godín,16,0,137,77,50,7.29
Barcelona,Aleix Vidal,1,0,5,8,8,7.28
Barcelona,Gerard Piqué,16,0,104,38,43,7.26
Real Madrid,Gareth Bale,1,0,14,18,17,7.26
Athletic Bilbao,Beñat Etxebarria,3,0,6,36,54,7.23
Real Madrid,Sergio Ramos,14,0,99,57,41,7.23
Barcelona,Javier Mascherano,7,2,37,43,56,7.22
Real Madrid,Luka Modrić,6,0,8,43,37,7.20
Celta Vigo,Iago Aspas,0,0,5,11,20,7.19
Real Madrid,Pepe,6,0,68,20,16,7.18
Espanyol,David López,18,0,159,67,92,7.18
Malaga,Luis Hernández,11,1,89,40,36,7.18
Atletico Madrid,José Giménez,7,1,57,32,40,7.18
Sevilla,Steven N'Zonzi,6,0,50,37,66,7.18
Real Madrid,Danilo,8,0,39,40,51,7.18
Real Madrid,Isco,0,1,0,18,47,7.17
Villarreal,Roberto Soldado,0,0,5,2,12,7.17
Real Betis,Dani Ceballos,2,0,12,57,92,7.16
Atletico Madrid,Koke,10,0,22,49,94,7.16
Malaga,Sandro Ramírez,0,0,2,14,15,7.15
Real Madrid,Mateo Kovačić,2,0,8,21,66,7.15
Barcelona,Marlon,0,0,5,3,3,7.15
Real Madrid,Casemiro,6,1,27,43,100,7.15
Athletic Bilbao,Yeray Álvarez,12,0,100,96,64,7.15
Real Madrid,Álvaro Morata,0,0,11,3,15,7.14
Valencia,Dani Parejo,3,0,30,41,96,7.14
Las Palmas,Mauricio Lemos,18,0,73,40,40,7.13
Barcelona,Andrés Iniesta,0,0,6,12,30,7.13
Barcelona,Samuel Umtiti,8,0,68,47,28,7.12
Espanyol,Gerard Moreno,8,0,38,30,56,7.12
Eibar,Iván Ramis,8,1,102,49,19,7.11
Atletico Madrid,Stefan Savić,31,0,165,68,47,7.11
Real Madrid,Raphaël Varane,8,0,99,38,30,7.11
Real Sociedad,Carlos Vela,0,0,2,10,27,7.11
Villarreal,Manu Trigueros,6,0,22,28,73,7.11
Athletic Bilbao,Aritz Aduriz,2,0,18,4,13,7.11
Barcelona,Ivan Rakitić,2,0,12,34,52,7.10
Athletic Bilbao,Aymeric Laporte,18,0,127,63,56,7.10
Athletic Bilbao,Gorka Elustondo,0,0,3,4,6,7.10
Real Madrid,Karim Benzema,1,0,12,3,18,7.10
Deportivo Alaves,Zouhair Feddal,20,0,155,63,26,7.09
Valencia,Enzo Pérez,16,0,42,60,86,7.09
Eibar,Dani García,5,0,44,76,106,7.07
Malaga,Ignacio Camacho,11,1,81,115,105,7.07
Real Sociedad,Willian José,1,0,20,7,8,7.07
Barcelona,Rafinha Alcántara,1,0,2,12,28,7.07
Eibar,Florian Lejeune,20,2,191,72,44,7.06
Atletico Madrid,Gabi,17,0,31,74,120,7.05
Celta Vigo,Carles Planas,2,0,24,24,44,7.05
Deportivo Alaves,Rodrigo Ely,7,0,51,10,9,7.04
Barcelona,Arda Turan,0,0,5,12,33,7.04
Sevilla,Vicente Iborra,11,0,46,33,25,7.03
Sevilla,Franco Vázquez,6,1,12,10,64,7.03
Deportivo La Coruna,Celso Borges,7,0,38,63,64,7.03
Real Sociedad,Iñigo Martínez,11,0,122,61,42,7.03
Villarreal,Sergio Asenjo,0,2,21,3,1,7.03
Deportivo La Coruna,Pedro Mosquera,8,0,36,49,68,7.03
Villarreal,Mario Gaspar,10,0,112,70,101,7.03
Sevilla,Sergio Escudero,7,0,46,48,81,7.03
Deportivo Alaves,Víctor Laguardia,16,0,140,56,31,7.03
Villarreal,Jaume Costa,13,0,92,43,77,7.03
Atletico Madrid,Saúl Ñíguez,7,0,60,58,102,7.02
Leganes,Dimitrios Siovas,7,0,88,38,29,7.02
Villarreal,Daniele Bonera,5,0,17,7,4,7.02
Barcelona,Sergio Busquets,3,0,20,47,84,7.02
Barcelona,Marc-André ter Stegen,0,2,16,2,0,7.01
Las Palmas,Pedro Bigas,18,1,132,84,31,7.01
Deportivo Alaves,Manu García,9,0,52,32,77,7.01
Barcelona,Jérémy Mathieu,4,0,31,15,16,7.01
Real Betis,Petros,11,0,20,51,110,7.01
Sevilla,Clément Lenglet,7,0,60,25,48,7.00
Deportivo Alaves,Deyverson,5,0,59,22,45,7.00
Sevilla,David Soria,0,0,0,0,0,7.00
Real Betis,Rubén Castro,0,0,2,10,4,7.00
Eibar,David Juncà,2,0,28,15,25,7.00
Espanyol,Diego Reyes,17,0,168,70,47,7.00
Eibar,Alejandro Gálvez,4,0,68,41,31,7.00
Real Sociedad,Raúl Navas,13,1,103,76,39,7.00
Valencia,Ezequiel Garay,14,1,143,58,36,7.00
Barcelona,Sergi Roberto,6,2,29,48,64,6.99
Real Madrid,Marcelo,3,0,28,40,44,6.99
Villarreal,Rodrigo,5,0,31,19,49,6.99
Sevilla,Samir Nasri,0,0,1,13,23,6.99
Real Madrid,Daniel Carvajal,7,0,25,45,58,6.98
Sevilla,Timothée Kolodziejczak,0,0,14,12,11,6.98
Athletic Bilbao,Eneko Bóveda,7,0,60,46,44,6.97
Villarreal,Andrés Fernández,0,1,15,1,0,6.97
Villarreal,Mateo Musacchio,21,1,104,36,46,6.96
Real Madrid,Nacho Fernández,13,0,76,46,55,6.96
Real Sociedad,Carlos Martínez,5,0,30,22,18,6.96
Sevilla,Vitolo,2,0,6,19,44,6.96
Real Betis,Bruno González,7,0,59,41,27,6.96
Sevilla,Wissam Ben Yedder,1,0,2,6,11,6.95
Athletic Bilbao,Iker Muniain,0,0,1,15,40,6.95
Atletico Madrid,Lucas Hernández,6,0,63,22,24,6.95
Sevilla,Stevan Jovetić,0,0,2,1,5,6.94
Espanyol,Marc Navarro,2,0,20,16,20,6.94
Valencia,Eliaquim Mangala,26,1,156,67,56,6.94
Real Sociedad,Xabi Prieto,3,0,27,19,28,6.94
Real Betis,Rubén Pardo,4,1,11,25,36,6.94
Atletico Madrid,Augusto Fernández,0,0,0,8,5,6.93
Villarreal,Víctor Ruiz,21,0,110,61,20,6.93
Valencia,Rodrigo,1,0,10,4,14,6.93
Atletico Madrid,Šime Vrsaljko,1,0,33,32,28,6.93
Deportivo Alaves,Fernando Pacheco,0,1,15,2,1,6.93
Sevilla,Ganso,0,0,0,4,16,6.93
Malaga,Recio,2,0,9,16,43,6.93
Real Betis,Aïssa Mandi,24,1,80,60,43,6.93
Sevilla,Adil Rami,16,0,95,32,22,6.92
Eibar,Fran Rico,4,0,6,31,43,6.92
Real Madrid,Lucas Vázquez,5,0,16,9,42,6.92
Leganes,Rubén Pérez,11,0,37,59,80,6.92
Real Betis,Felipe Gutiérrez,4,0,8,17,36,6.92
Real Madrid,Marco Asensio,0,0,3,10,26,6.92
Villarreal,Roberto Soriano,2,0,31,34,49,6.92
Eibar,Sergi Enrich,2,0,25,10,32,6.92
Granada,Matthieu Saunier,12,0,58,43,30,6.92
Athletic Bilbao,Raúl García,2,0,30,32,77,6.92
Las Palmas,Sergio Araujo,1,0,6,5,8,6.92
Barcelona,Jordi Alba,3,0,43,30,32,6.92
Espanyol,Víctor Sánchez,4,0,55,74,106,6.92
Granada,Adrian Ramos,0,0,14,3,8,6.91
Deportivo La Coruna,Sidnei,21,2,148,53,37,6.91
Las Palmas,Ángel Montoro,3,0,26,25,29,6.91
Leganes,Diego Rico,10,0,46,67,76,6.91
Athletic Bilbao,Xabier Etxeita,8,0,31,15,18,6.91
Barcelona,Paco Alcácer,0,0,3,6,5,6.91
Espanyol,Léo Baptistão,1,0,12,12,19,6.91
Granada,Mubarak Wakaso,1,0,5,11,40,6.91
Villarreal,Álvaro González,9,0,124,27,30,6.91
Deportivo Alaves,Óscar Romero,0,0,2,7,21,6.91
Deportivo La Coruna,Guilherme,4,1,44,46,76,6.90
Valencia,Simone Zaza,1,0,7,3,25,6.90
Real Madrid,Fábio Coentrão,1,0,6,1,1,6.90
Sevilla,Sergio Rico,0,1,40,3,1,6.90
Deportivo Alaves,Adrián Ortolá,0,0,1,0,0,6.90
Granada,Pervis Estupinan,0,0,3,7,6,6.90
Leganes,Robert Ibáñez,0,0,0,1,2,6.90
Deportivo La Coruna,Edu Expósito,0,0,0,0,2,6.90
Osasuna,Jhon Steven,4,0,34,17,7,6.90
Las Palmas,Jesé Rodríguez,0,0,1,7,19,6.90
Real Betis,Germán Pezzella,14,0,167,100,72,6.90
Leganes,Alexander Szymanowski,1,0,9,21,35,6.90
Deportivo La Coruna,Raúl Albentosa,24,0,126,42,33,6.89
Valencia,Nani,2,0,8,21,32,6.89
Espanyol,Diego López,0,1,29,0,0,6.89
Celta Vigo,Daniel Wass,4,0,40,23,37,6.89
Atletico Madrid,Kévin Gameiro,1,0,8,7,18,6.89
Las Palmas,Kevin-Prince Boateng,5,0,31,18,21,6.89
Atletico Madrid,Miguel Ángel Moyà,0,1,3,0,0,6.89
Celta Vigo,Andreu Fontàs,10,0,56,38,50,6.89
Deportivo La Coruna,Alejandro Arribas,14,1,132,34,41,6.89
Atletico Madrid,Thomas Partey,2,0,13,19,19,6.89
Real Madrid,Keylor Navas,0,3,19,2,0,6.88
Valencia,José Luis Gayà,7,0,38,40,76,6.88
Leganes,Alberto Martín,10,1,20,30,41,6.88
Sporting Gijon,Jean-Sylvain Babin,17,1,116,24,22,6.88
Valencia,Aderllan Santos,5,0,59,33,24,6.88
Eibar,Pedro León,1,0,7,35,41,6.87
Valencia,Mario Suárez,8,1,37,30,38,6.87
Deportivo La Coruna,Joselu,0,0,7,2,9,6.87
Villarreal,Cédric Bakambu,1,0,16,2,14,6.87
Osasuna,Roberto Torres,0,0,19,38,45,6.87
Deportivo Alaves,Theo Hernández,10,0,53,41,65,6.87
Atletico Madrid,Yannick Carrasco,1,0,9,14,26,6.87
Deportivo Alaves,Ibai Gómez,0,0,7,11,26,6.87
Sporting Gijon,Mikel Vesga,7,0,32,52,50,6.87
Atletico Madrid,Juanfran,8,0,48,32,44,6.87
Villarreal,Jonathan dos Santos,2,1,11,34,58,6.86
Real Sociedad,Mikel González,1,0,29,17,14,6.86
Deportivo La Coruna,Emre Çolak,2,0,8,14,44,6.86
Las Palmas,Roque Mesa,6,0,16,37,51,6.86
Barcelona,Lucas Digne,4,0,22,20,29,6.86
Real Sociedad,David Zurutuza,5,0,27,85,66,6.86
Eibar,Antonio Luna,9,1,49,67,45,6.86
Malaga,Roberto Rosales,6,0,69,58,98,6.86
Celta Vigo,Gustavo Cabral,17,1,110,52,73,6.86
Espanyol,José Jurado,1,1,8,19,39,6.85
Real Madrid,Kiko Casilla,0,0,5,0,1,6.85
Eibar,Anaitz Arbilla,1,0,49,48,44,6.85
Sevilla,Luciano Vietto,0,0,4,2,9,6.85
Malaga,Diego Llorente,8,0,85,77,36,6.85
Sevilla,Nicolás Pareja,13,1,85,77,41,6.85
Deportivo Alaves,Nenad Krstičić,2,0,7,15,27,6.85
Las Palmas,David García,8,0,67,37,31,6.85
Malaga,Charles Días,3,0,13,4,5,6.85
Celta Vigo,Facundo Roncaglia,22,0,79,77,97,6.85
Deportivo La Coruna,Ola John,0,0,2,6,6,6.85
Leganes,Martín Mantovani,8,1,147,68,43,6.85
Atletico Madrid,Nicolás Gaitán,1,0,4,15,22,6.84
Las Palmas,Momo,4,0,8,14,34,6.84
Atletico Madrid,Jan Oblak,0,2,17,1,0,6.84
Leganes,David Timor,5,0,39,40,32,6.84
Espanyol,Pablo Piatti,2,0,14,28,58,6.84
Sporting Gijon,Duje Čop,1,0,35,9,11,6.84
Villarreal,Rafael Santos Borré,0,0,1,1,7,6.84
Sevilla,Mariano,4,0,31,41,72,6.84
Real Sociedad,Yuri Berchiche,9,0,74,62,77,6.83
Sevilla,Pablo Sarabia,2,0,25,25,40,6.83
Malaga,Pablo Fornals,5,0,11,40,60,6.83
Atletico Madrid,Tiago,5,1,8,16,9,6.83
Leganes,Unai Bustinza,5,0,53,59,60,6.82
Granada,Sverrir Ingi Ingason,11,0,101,32,30,6.82
Celta Vigo,Giuseppe Rossi,0,0,5,1,8,6.82
Athletic Bilbao,Mikel San José,9,0,33,61,80,6.82
Osasuna,Oriol Riera,0,0,34,7,22,6.82
Sporting Gijon,Jorge Meré,21,0,116,66,61,6.82
Atletico Madrid,Fernando Torres,3,0,16,2,9,6.82
Granada,Guillermo Ochoa,0,3,24,2,0,6.82
Real Sociedad,Jon Bautista,0,0,4,0,11,6.82
Real Betis,Antonio Adán,0,0,40,5,1,6.82
Deportivo La Coruna,Juanfran,8,0,79,62,61,6.82
Celta Vigo,Jozabed Sánchez,3,0,11,9,18,6.82
Eibar,Kike,1,0,23,8,15,6.82
Eibar,Yoel Rodríguez,0,0,34,3,1,6.82
Deportivo La Coruna,Álex Bergantiños,1,0,12,10,20,6.81
Valencia,Martín Montoya,10,0,49,63,88,6.81
Celta Vigo,Sergi Gómez,13,0,92,58,50,6.80
Valencia,Shkodran Mustafi,1,0,0,4,2,6.80
Real Sociedad,Igor Zubeldia,1,0,0,1,9,6.80
Celta Vigo,Rubén Blanco,0,0,17,1,0,6.80
Valencia,Jaume Doménech,0,0,2,0,1,6.80
Eibar,Markel Areitio,0,0,0,0,0,6.80
Sporting Gijon,Sergio Álvarez,14,0,49,71,143,6.80
Deportivo Alaves,Kiko Femenia,4,0,40,45,50,6.80
Las Palmas,Vicente Gómez,6,0,30,40,46,6.80
Las Palmas,Dani Castellano,14,1,41,40,57,6.80
Valencia,Munir El Haddadi,3,0,17,28,40,6.79
Real Sociedad,Esteban Granero,2,0,9,19,20,6.79
Real Betis,Álex Alegría,1,0,20,6,8,6.79
Malaga,Martín Demichelis,6,1,69,17,9,6.79
Las Palmas,Alen Halilović,0,0,1,5,8,6.79
Real Sociedad,Gerónimo Rulli,0,1,16,7,5,6.79
Deportivo La Coruna,Florin Andone,3,0,31,4,23,6.79
Celta Vigo,Nemanja Radoja,7,0,39,35,72,6.78
Real Betis,Joaquín,2,0,9,13,16,6.78
Real Sociedad,Joseba Zaldúa,3,0,16,22,34,6.78
Espanyol,Óscar Duarte,13,0,53,22,14,6.78
Villarreal,Nicola Sansone,3,0,2,7,17,6.78
Valencia,Toni Lato,1,0,19,11,20,6.78
Sevilla,Hiroshi Kiyotake,0,1,0,2,3,6.78
Leganes,Nereo Champagne,0,0,6,0,0,6.78
Las Palmas,Mateo García,0,0,3,12,17,6.78
Valencia,Fabián Orellana,1,0,17,21,28,6.77
Deportivo Alaves,Christian Santos,1,0,14,2,15,6.77
Sporting Gijon,Iván Cuéllar,0,3,43,5,0,6.77
Leganes,Erik Morán,2,0,20,18,25,6.77
Malaga,José Rodríguez,1,0,5,7,15,6.77
Osasuna,Didier Digard,1,0,2,3,8,6.77
