Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Atalanta,Alejandro Gómez,84,11,19,76,7,7.85
Parma,Pierluigi Frattali,62,0,0,0,0,7.70
Juventus,Cristiano Ronaldo,85,8,10,45,21,7.66
Milan,Suso,83,10,28,66,7,7.61
Udinese,Rodrigo De Paul,76,8,53,81,9,7.57
Atalanta,Josip Iličić,80,7,15,78,12,7.47
Napoli,Lorenzo Insigne,86,6,14,26,10,7.44
Sampdoria,Fabio Quagliarella,69,8,14,18,26,7.38
Milan,Hakan Çalhanoğlu,85,6,52,31,3,7.37
Inter,Cédric Soares,80,1,8,0,0,7.37
Napoli,Dries Mertens,79,11,19,18,16,7.37
Napoli,Fabián Ruiz,90,4,54,36,5,7.36
Lazio,Luis Alberto,82,5,53,24,4,7.34
Atalanta,Duván Zapata,79,7,9,40,23,7.32
Inter,Marcelo Brozović,90,1,101,22,2,7.30
Cagliari,Leonardo Pavoletti,69,1,32,9,16,7.28
Juventus,Paulo Dybala,89,4,17,50,5,7.26
Roma,Edin Džeko,71,6,13,34,9,7.25
Napoli,Arkadiusz Milik,83,3,19,8,17,7.24
Roma,Stephan El Shaarawy,82,3,27,44,11,7.24
Roma,Aleksandar Kolarov,81,2,38,30,8,7.24
Juventus,Miralem Pjanić,92,6,41,11,2,7.24
Juventus,Mario Mandžukić,71,6,34,5,9,7.23
Bologna,Erick Pulgar,84,2,65,12,6,7.22
Roma,Antonio Mirante,64,0,0,1,0,7.22
Inter,Ivan Perišić,75,3,34,23,8,7.21
Napoli,José Callejón,87,10,35,15,3,7.20
Inter,Šime Vrsaljko,86,2,20,2,0,7.20
Chievoverona,Adrian Šemper,53,0,0,0,0,7.20
Milan,Krzysztof Piątek,75,0,17,16,22,7.20
Frosinone,Camillo Ciano,73,4,33,18,7,7.19
Napoli,Faouzi Ghoulam,89,3,9,1,1,7.18
Torino,Armando Izzo,78,1,76,9,4,7.18
Torino,Andrea Belotti,65,3,33,36,15,7.16
Fiorentina,Jordan Veretout,82,3,64,21,5,7.16
Napoli,Kalidou Koulibaly,89,2,61,11,2,7.15
Torino,Cristian Ansaldi,73,2,50,53,3,7.15
Sampdoria,Rafael,71,0,0,0,0,7.15
Torino,Iago Falque,83,4,13,18,6,7.15
Fiorentina,Cristiano Biraghi,76,4,53,15,1,7.14
Milan,Cristián Zapata,92,0,23,2,0,7.14
Juventus,Alex Sandro,85,2,68,29,1,7.14
Sassuolo,Domenico Berardi,77,4,38,46,8,7.13
Roma,Lorenzo Pellegrini,80,3,39,27,2,7.13
Atalanta,Robin Gosens,79,2,63,20,3,7.13
Lazio,Ciro Immobile,77,6,11,31,15,7.13
Inter,Matteo Politano,80,6,18,47,5,7.13
Genoa,Domenico Criscito,76,4,110,21,2,7.13
Sassuolo,Stefano Sensi,90,4,36,19,2,7.13
Juventus,João Cancelo,86,3,43,61,1,7.12
Lazio,Danilo Cataldi,84,1,12,6,2,7.12
Empoli,Bartłomiej Drągowski,61,0,0,0,0,7.12
Juventus,Emre Can,87,1,64,26,4,7.12
Cagliari,Darijo Srna,81,4,24,11,0,7.12
Lazio,Francesco Acerbi,87,1,40,9,3,7.11
Milan,Gonzalo Higuaín,84,1,8,20,6,7.11
Napoli,Piotr Zieliński,90,2,41,36,6,7.11
Juventus,Giorgio Chiellini,85,1,24,4,1,7.10
Juventus,Medhi Benatia,91,0,7,2,0,7.10
Sassuolo,Merih Demiral,87,0,24,4,2,7.10
Spal,Jasmin Kurtić,86,5,36,24,6,7.10
Fiorentina,Germán Pezzella,86,1,56,4,2,7.09
Atalanta,Remo Freuler,88,6,84,26,2,7.08
Inter,Roberto Gagliardini,87,0,23,5,5,7.08
Roma,Steven N'Zonzi,88,2,66,13,1,7.08
Milan,Alessio Romagnoli,91,0,34,1,2,7.08
Empoli,Ismaël Bennacer,86,5,95,66,0,7.08
Inter,Stefan de Vrij,92,0,25,4,2,7.07
Inter,Milan Škriniar,93,1,64,7,0,7.07
Lazio,Joaquín Correa,86,6,21,70,5,7.06
Roma,Diego Perotti,82,0,14,18,5,7.05
Roma,Federico Fazio,85,0,28,14,5,7.05
Spal,Vanja Milinković-Savić,53,0,0,0,0,7.05
Napoli,Allan,90,3,106,41,1,7.05
Juventus,Leonardo Bonucci,87,0,18,3,3,7.05
Atalanta,Rafael Tolói,85,3,27,9,1,7.05
Napoli,Raúl Albiol,89,0,16,1,1,7.05
Udinese,Stefano Okaka,72,1,13,26,6,7.04
Cagliari,Alessio Cragno,61,0,0,0,0,7.04
Milan,Gianluigi Donnarumma,80,0,1,0,0,7.04
Inter,Mauro Icardi,71,4,9,9,11,7.04
Fiorentina,Pietro Terracciano,73,0,0,0,0,7.04
Milan,Giacomo Bonaventura,89,1,6,10,3,7.04
Roma,Alessandro Florenzi,78,2,39,8,3,7.03
Roma,Daniele De Rossi,87,2,16,2,1,7.03
Inter,Kwadwo Asamoah,89,1,44,40,0,7.03
Torino,Nicolas N'Koulou,90,0,45,6,2,7.03
Roma,Konstantinos Manolas,88,1,32,3,1,7.03
Inter,Radja Nainggolan,84,3,35,27,6,7.02
Juventus,Mattia De Sciglio,83,1,40,8,0,7.02
Juventus,Juan Cuadrado,88,2,20,19,1,7.02
Milan,Ricardo Rodríguez,87,3,57,12,0,7.01
Sampdoria,Gianluca Caprari,82,2,15,18,6,7.01
Bologna,Federico Santander,61,3,18,3,8,7.01
Fiorentina,Nikola Milenković,80,0,59,11,3,7.01
Torino,Daniele Baselli,80,1,65,23,4,7.01
Lazio,Lucas Leiva,88,2,91,10,0,7.01
Sampdoria,Dennis Praet,87,3,63,37,2,7.00
Fiorentina,Federico Chiesa,72,3,46,79,6,7.00
Roma,Kevin Strootman,78,0,2,0,0,7.00
Juventus,Paolo Gozzi Iweru,91,0,3,1,0,7.00
Fiorentina,Tofol Montiel,60,0,0,0,0,7.00
Genoa,Christian Kouamé,66,5,31,43,4,6.99
Sampdoria,Lorenzo Tonelli,89,0,31,6,1,6.99
Empoli,Rade Krunić,81,7,38,47,5,6.99
Roma,Iván Marcano,87,0,8,3,0,6.99
Chievoverona,Mattia Bani,81,0,66,1,0,6.99
Atalanta,Marten de Roon,88,3,101,8,2,6.99
Bologna,Riccardo Orsolini,69,5,40,31,8,6.99
Udinese,Juan Musso,56,0,0,0,0,6.98
Juventus,Federico Bernardeschi,83,3,14,21,2,6.98
Bologna,Lyanco,80,0,30,10,1,6.98
Cagliari,Luca Cigarini,80,1,54,10,0,6.98
Torino,Salvatore Sirigu,60,0,0,2,0,6.98
Napoli,Nikola Maksimović,93,0,20,4,0,6.98
Sassuolo,Manuel Locatelli,87,4,44,21,2,6.98
Fiorentina,Vitor Hugo,87,2,64,2,0,6.97
Lazio,Luiz Felipe,84,1,27,3,1,6.97
Napoli,Kévin Malcuit,86,2,44,34,0,6.97
Napoli,Orestis Karnezis,64,0,0,0,0,6.97
Inter,Lautaro Martínez,71,2,6,13,6,6.97
Parma,Luigi Sepe,59,0,1,0,0,6.96
Milan,Franck Kessié,87,2,42,45,7,6.96
Lazio,Sergej Milinković-Savić,80,3,44,34,5,6.96
Sassuolo,Marlon,94,0,29,4,1,6.96
Juventus,Wojciech Szczęsny,79,0,2,0,0,6.96
Juventus,Sami Khedira,86,1,10,0,2,6.96
Sampdoria,Nicola Murru,78,5,84,16,0,6.96
Parma,Gervinho,82,2,19,64,11,6.96
Spal,Manuel Lazzari,82,8,30,65,0,6.96
Sampdoria,Joachim Andersen,89,1,40,15,0,6.96
Parma,Riccardo Gagliolo,76,2,67,5,0,6.96
Inter,Dalbert,80,1,33,3,0,6.95
Sassuolo,Kevin-Prince Boateng,81,1,5,0,4,6.95
Atalanta,José Luis Palomino,88,1,49,6,1,6.95
Inter,Samir Handanovič,81,0,1,0,0,6.95
Juventus,Blaise Matuidi,88,2,59,20,3,6.95
Sassuolo,Gianmarco Ferrari,87,0,41,4,4,6.95
Parma,José Machín,76,1,4,3,0,6.95
Torino,Koffi Djidji,83,0,37,15,0,6.95
Napoli,Marek Hamšík,88,0,7,6,0,6.95
Empoli,Francesco Caputo,77,3,13,12,16,6.94
Sampdoria,Grégoire Defrel,84,3,40,28,11,6.94
Genoa,Cristian Romero,81,2,61,15,2,6.94
Spal,Pasquale Schiattarella,87,4,42,10,0,6.94
Inter,Keita Baldé,85,2,10,20,5,6.93
Lazio,Senad Lulić,78,1,72,41,4,6.93
Spal,Andrea Petagna,80,1,15,30,16,6.93
Torino,Gleison Bremer,85,0,3,1,0,6.93
Frosinone,Raffaele Maiello,82,0,42,20,0,6.93
Atalanta,Berat Djimsiti,91,2,32,5,1,6.93
Bologna,Danilo,77,0,40,3,1,6.93
Roma,Cengiz Ünder,78,7,6,22,3,6.93
Bologna,Nicola Sansone,77,4,29,12,2,6.93
Spal,Mirko Valdifiori,86,1,20,2,0,6.93
Napoli,Amin Younes,90,2,11,18,3,6.93
Juventus,Daniele Rugani,90,0,8,0,2,6.92
Lazio,Thomas Strakosha,65,0,1,1,0,6.92
Fiorentina,Luis Muriel,62,0,19,31,6,6.92
Lazio,Marco Parolo,78,3,68,3,4,6.92
Roma,Javier Pastore,86,0,10,15,3,6.91
Atalanta,Gianluca Mancini,83,2,41,11,5,6.91
Milan,Mateo Musacchio,90,0,41,3,1,6.91
Sampdoria,Manolo Gabbiadini,77,2,5,6,4,6.91
Bologna,Rodrigo Palacio,77,6,24,49,3,6.91
Udinese,Samir,82,0,47,8,2,6.91
Milan,Lucas Biglia,90,0,60,3,1,6.91
Frosinone,Marco Sportiello,62,0,1,0,0,6.91
Napoli,Mário Rui,84,1,24,11,1,6.91
Inter,Danilo D'Ambrosio,85,5,69,13,2,6.90
Lazio,Rômulo,83,3,36,30,1,6.90
Parma,Leo Štulac,86,2,19,8,0,6.90
Chievoverona,Riccardo Meggiorini,65,1,18,6,3,6.90
Sampdoria,Albin Ekdal,86,0,61,35,0,6.90
Sampdoria,Omar Colley,88,0,18,5,0,6.90
Milan,Tiemoué Bakayoko,87,1,70,62,1,6.89
Lazio,Milan Badelj,86,0,33,29,1,6.89
Empoli,Diego Farias,81,4,24,17,7,6.89
Fiorentina,Valentin Eysseric,82,1,6,1,0,6.89
Udinese,Sebastien De Maio,80,1,16,4,1,6.89
Genoa,Goran Pandev,76,2,14,16,4,6.88
Genoa,Ivan Radovanović,84,0,47,13,0,6.88
Juventus,Douglas Costa,86,0,10,30,1,6.88
Cagliari,Nicolò Barella,82,3,99,42,1,6.88
Parma,Bruno Alves,79,1,14,3,4,6.88
Chievoverona,Emanuele Giaccherini,78,1,14,26,3,6.88
Atalanta,Hans Hateboer,84,5,44,14,5,6.88
Torino,Álex Berenguer,77,3,32,33,2,6.88
Atalanta,Timothy Castagne,84,2,60,20,4,6.88
Milan,Davide Calabria,83,1,79,12,1,6.87
Lazio,Felipe Caicedo,76,2,16,16,8,6.87
Udinese,Bram Nuytinck,82,0,50,2,0,6.87
Frosinone,Andrea Beghetto,68,3,26,7,0,6.87
Parma,Roberto Inglese,68,1,20,21,9,6.87
Juventus,Rodrigo Bentancur,87,3,52,18,2,6.87
Spal,Thiago Cionek,81,3,76,4,0,6.87
Udinese,Ignacio Pussetto,69,4,65,47,4,6.87
Cagliari,Luca Ceppitelli,83,1,41,3,1,6.86
Inter,João Mário,85,2,28,23,1,6.86
Udinese,Rolando Mandragora,84,2,67,4,3,6.86
Spal,Francesco Vicari,88,1,28,0,2,6.86
Torino,Ola Aina,78,3,54,30,1,6.86
Napoli,Adam Ounas,83,0,5,19,3,6.86
Empoli,Miha Zajc,83,2,6,28,3,6.86
Chievoverona,Joel Obi,85,0,23,6,1,6.85
Fiorentina,Giovanni Simeone,69,3,43,26,6,6.85
Napoli,Alex Meret,74,0,0,0,0,6.85
Genoa,Andrea Favilli,75,2,1,2,0,6.85
Genoa,Iuri Medeiros,90,0,2,3,0,6.85
Inter,Matías Vecino,82,1,50,15,3,6.85
Torino,Tomás Rincón,79,1,75,27,3,6.85
Spal,Simone Missiroli,83,0,58,20,0,6.85
Juventus,Moise Kean,80,0,0,9,6,6.85
Juventus,Mattia Perin,75,0,0,1,0,6.84
Lazio,Ştefan Radu,86,1,43,7,0,6.84
Cagliari,Fabrizio Cacciatore,80,2,17,3,0,6.84
Sampdoria,Édgar Barreto,81,2,28,1,0,6.84
Chievoverona,Emanuel Vignato,85,1,8,11,1,6.84
Spal,Felipe,87,2,35,6,3,6.84
Atalanta,Andrea Masiello,88,2,28,0,0,6.84
Frosinone,Andrea Pinamonti,73,3,14,15,5,6.84
Fiorentina,Gerson,83,3,42,28,3,6.84
Frosinone,Daniel Ciofani,67,2,8,2,5,6.84
Spal,Kevin Bonifazi,88,1,40,23,2,6.83
Torino,Salvador Ichazo,54,0,0,0,0,6.83
Sampdoria,Alex Ferrari,88,0,10,0,0,6.83
Parma,Luca Siligardi,70,2,30,35,1,6.83
Cagliari,João Pedro,74,2,17,19,7,6.83
Genoa,Darko Lazović,75,4,28,36,3,6.83
Udinese,William Troost-Ekong,82,0,32,2,0,6.83
Milan,Ignazio Abate,84,0,34,4,0,6.83
Empoli,Giovanni Di Lorenzo,80,3,66,28,5,6.83
Frosinone,Lorenzo Ariaudo,83,0,20,3,0,6.83
Napoli,Marko Rog,91,0,12,8,1,6.82
Spal,Filippo Costa,78,0,16,7,0,6.82
Fiorentina,Federico Ceccherini,86,0,13,6,0,6.82
Sampdoria,Gastón Ramírez,79,4,38,18,4,6.82
Spal,Emiliano Viviano,68,0,0,1,0,6.82
Roma,Justin Kluivert,83,6,28,24,1,6.82
Parma,Federico Dimarco,76,0,22,10,1,6.82
Frosinone,Bartosz Salamon,82,0,17,2,0,6.82
Milan,Fabio Borini,72,2,14,8,2,6.82
Spal,Mohamed Fares,78,0,64,35,3,6.81
Lazio,Valon Berisha,87,0,8,1,0,6.81
Fiorentina,Alban Lafont,63,0,0,2,0,6.81
Inter,Borja Valero,94,1,22,4,0,6.81
Torino,Soualiho Meïté,82,4,46,52,2,6.81
Napoli,Amadou Diawara,93,0,12,9,0,6.81
Empoli,Marko Pajač,83,2,8,10,2,6.81
Frosinone,Luca Valzania,77,1,26,8,2,6.81
Parma,Juraj Kucka,69,3,51,15,4,6.81
Napoli,Simone Verdi,85,3,16,12,3,6.80
Roma,Bryan Cristante,82,3,63,31,4,6.80
Milan,Pepe Reina,70,0,0,0,0,6.80
Torino,Simone Zaza,67,3,20,2,4,6.80
Atalanta,Ali Adnan,71,0,1,4,0,6.80
Juventus,Grigoris Kastanos,84,0,3,1,0,6.80
Lazio,Wallace,85,0,17,3,0,6.80
Cagliari,Filippo Romagna,88,0,14,0,0,6.80
Frosinone,Federico Viviani,85,0,6,3,0,6.80
Genoa,Miguel Veloso,80,1,31,3,0,6.80
Fiorentina,Dávid Hancko,71,0,7,0,0,6.80
Sampdoria,Júnior Tavares,93,0,2,3,0,6.80
Genoa,Koray Günter,84,0,18,0,0,6.80
Torino,Vitalie Damașcan,50,0,1,1,0,6.80
Spal,Sergio Floccari,79,1,13,7,3,6.80
Spal,Gabriele Moncini,0,0,1,0,0,6.80
Lazio,Luan Capanni,60,0,1,0,0,6.80
Sassuolo,Jérémie Boga,87,1,7,82,3,6.80
Sassuolo,Federico Di Francesco,85,2,10,13,2,6.79
Udinese,Kevin Lasagna,70,2,6,11,6,6.79
