Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
James Rodríguez,Bayern Munich,27,AM(CLR),19(4),1627,1.5,0.5,1,-,0.1,0.7,-,-,7.63
Daniel Caligiuri,Schalke 04,31,"D(R),M(LR),FW",32(1),2918,3,2,1.2,0.1,1.6,1.4,0.1,-,7.57
Robert Lewandowski,Bayern Munich,30,FW,24(6),2169,0.2,0.2,1.2,-,0.3,0.1,-,-,7.49
Arturo Vidal,Bayern Munich,32,M(C),17(5),1461,3.1,1.3,2,-,0.6,1.6,-,-,7.49
Niklas Dorsch,Bayern Munich,21,DMC,1,90,1,1,2,-,-,2,-,-,7.45
Ignacio Camacho,Wolfsburg,29,"D(C),M(C)",11,953,2.5,3.7,1.3,0.7,3.6,1.3,0.5,-,7.42
Naldo,Schalke 04,36,D(C),34,3060,1.5,1.6,1,0.6,5.7,0.4,0.6,-,7.42
Serge Gnabry,Hoffenheim,23,"AM(CLR),FW",20(2),1507,1.5,0.4,0.9,-,0.2,0.5,-,-,7.41
Alexander Hack,Mainz 05,25,D(C),14(1),1288,3.1,1.7,0.7,0.2,5.5,0.9,1.2,-,7.41
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",11,935,1.5,0.4,1.2,0.1,0.7,0.6,0.3,-,7.39
Thiago Alcántara,Bayern Munich,28,M(C),12(7),1243,2.4,1.4,1.3,-,0.3,0.6,0.2,-,7.36
Salif Sané,Hannover 96,28,"D(C),DMC",32,2880,1.8,1.8,1.1,0.8,7.3,0.8,0.9,-,7.34
Leon Bailey,Bayer Leverkusen,21,M(LR),25(5),2223,0.5,0.5,0.9,-,0.2,0.2,-,-,7.32
Arjen Robben,Bayern Munich,35,"M(CLR),FW",19(2),1518,0.7,0.2,0.5,-,0.1,0.4,-,-,7.31
Thomas Müller,Bayern Munich,29,"M(CLR),FW",22(7),1966,1.2,0.2,0.7,-,0.4,0.5,-,-,7.28
Mats Hummels,Bayern Munich,30,D(C),25(1),2213,2.4,2.1,0.7,0.4,2.2,0.6,0.5,-,7.27
Pierre-Emerick Aubameyang,Borussia Dortmund,30,"M(LR),FW",16,1417,0.3,0.2,1.1,-,0.1,0.4,0.1,-,7.25
Naby Keita,RasenBallsport Leipzig,24,M(C),23(4),1962,2.4,1.3,1.9,-,0.6,1,0.1,-,7.24
Lars Stindl,Borussia M.Gladbach,30,"M(CR),FW",31,2731,1.7,1,2,-,0.9,0.8,0.1,-,7.23
Joshua Kimmich,Bayern Munich,24,"D(CR),DMC",26(3),2334,1.1,0.7,0.6,0.3,1.1,0.6,0.2,-,7.23
Sandro Wagner,Hoffenheim,31,FW,10(1),872,0.7,0.3,2.5,0.2,1.2,0.1,0.3,-,7.21
Benjamin Hübner,Hoffenheim,29,D(C),27,2319,2.6,1.9,1.7,0.5,3.7,0.6,0.7,-,7.20
Kingsley Coman,Bayern Munich,23,"AM(LR),FW",10(11),1149,0.5,0.3,0.3,-,-,0.2,-,-,7.20
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",20(1),1603,3,1.3,0.5,-,1.7,0.9,0.3,-,7.20
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",24,2140,2.1,1.8,0.9,0.3,2.5,0.9,0.5,-,7.19
Marc Bartra,Borussia Dortmund,28,D(CR),9(3),806,2.3,2.3,0.8,1.1,3.1,0.8,0.2,-,7.16
Mario Gomez,VfB Stuttgart,33,FW,16,1389,0.8,0.3,1.6,-,1,0.5,-,-,7.15
Caiuby,Augsburg,30,"AM(CL),FW",32(1),2859,1.6,0.5,2.1,-,1,0.8,-,-,7.15
Jérôme Boateng,Bayern Munich,30,D(CR),19,1644,1.4,1.1,0.7,0.4,2.6,0.7,0.6,-,7.14
Maximilian Philipp,Borussia Dortmund,25,"AM(LR),FW",15(5),1209,1.2,0.3,0.9,-,0.2,0.7,-,-,7.13
Marcel Sabitzer,RasenBallsport Leipzig,25,"AM(CLR),FW",21(1),1793,1.7,1.1,0.6,0.1,0.9,1.2,0.1,-,7.13
Ridle Baku,Mainz 05,21,M(C),3,234,1,1,1.7,-,0.7,0.3,-,-,7.12
Thilo Kehrer,Schalke 04,22,"D(CR),M(R)",27(1),2365,2.9,1.3,1.3,0.3,3.4,0.8,0.4,-,7.12
Alfred Finnbogason,Augsburg,30,FW,22,1826,0.8,0.6,1.5,0.1,0.3,0.3,-,-,7.11
Thorgan Hazard,Borussia M.Gladbach,26,"AM(CLR),FW",33(1),2947,1.4,0.8,0.7,-,0.4,1,-,-,7.11
Nuri Sahin,Borussia Dortmund,30,M(C),14(4),1227,2.2,1.1,1.2,-,1.4,1.3,-,-,7.10
Javi Martínez,Bayern Munich,30,"D(C),M(C)",18(4),1612,1.4,1.5,0.7,0.1,1.7,0.5,0.2,-,7.10
Benjamin Pavard,VfB Stuttgart,23,D(CR),34,3060,1.6,2.1,0.7,0.5,5.4,0.3,1,-,7.10
Marcel Halstenberg,RasenBallsport Leipzig,27,"D(L),M(L)",14(1),1179,1.9,1.5,0.7,0.1,2.2,0.3,0.1,-,7.10
Bastian Oczipka,Schalke 04,30,"D(CL),M(L)",26(3),2320,2.1,1.4,0.7,-,1.1,0.3,0.1,-,7.09
Philipp Max,Augsburg,25,"D(L),M(L)",33,2960,2,1,0.8,0.1,1.8,0.8,0.2,-,7.09
Tom Starke,Bayern Munich,38,GK,2,180,-,-,-,-,-,-,-,-,7.09
Ihlas Bebou,Hannover 96,25,"AM(CLR),FW",20(10),2142,1.2,0.8,0.7,-,0.8,0.4,0.1,-,7.08
Omar Mascarell,Eintracht Frankfurt,26,DMC,8(1),770,2.2,2.3,1.9,0.1,1,0.9,0.1,-,7.08
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",23(4),2083,1.5,0.3,0.6,-,0.1,0.7,-,-,7.08
Juan Bernat,Bayern Munich,26,"D(L),M(CL)",11,892,2.3,0.9,0.5,0.1,0.5,0.6,0.1,-,7.08
Michael Gregoritsch,Augsburg,25,"AM(CR),FW",30(2),2535,1.1,0.3,0.7,-,1.7,0.5,-,-,7.07
Lars Lukas Mai,Bayern Munich,19,Defender,2,180,2,1.5,1,1,1.5,0.5,1,-,7.07
Niclas Füllkrug,Hannover 96,26,FW,26(8),2389,0.5,0.2,1.8,-,0.9,0.3,0.1,-,7.06
Douglas Santos,Hamburger SV,25,"D(L),M(L)",26(1),2378,3.3,2.1,1.4,0.1,3,1.4,0.1,-,7.06
Thomas Delaney,Werder Bremen,27,DMC,31(1),2796,2.5,1.3,2.6,-,2.1,0.5,0.4,-,7.06
Dayot Upamecano,RasenBallsport Leipzig,20,D(C),25(3),2265,2,2,1.1,1.1,4.9,0.5,0.3,-,7.05
Pirmin Schwegler,Hannover 96,32,M(C),27(2),2330,2.8,1.7,2.1,-,1.6,1,0.3,-,7.04
Jean-Philippe Gbamin,Mainz 05,23,"D(CR),DMC",29(1),2591,2.6,1.7,1.5,0.1,2.5,0.7,0.3,-,7.04
Marius Wolf,Eintracht Frankfurt,24,"D(R),M(CLR)",27(1),2368,1.3,1,0.9,-,1.3,1,-,-,7.04
Willi Orban,RasenBallsport Leipzig,26,D(C),25(1),2127,1.9,1.1,1,1.4,5.8,0.5,0.7,-,7.04
Leon Goretzka,Schalke 04,24,M(CR),21(5),1983,1.9,1.6,1.3,-,1.2,1.4,0.2,-,7.03
Mark Uth,Hoffenheim,27,"AM(CR),FW",24(7),2177,1,0.3,1.6,-,0.5,0.5,0.1,-,7.03
Andrej Kramaric,Hoffenheim,28,"AM(CLR),FW",22(12),2222,0.2,0.2,0.3,-,0.2,0.1,-,-,7.02
Christian Pulisic,Borussia Dortmund,20,M(CLR),27(5),2313,1.4,0.5,0.5,-,0.2,0.6,0.1,-,7.02
Michy Batshuayi,Borussia Dortmund,25,FW,9(1),837,0.8,-,1.7,-,0.5,0.2,-,-,7.01
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",0(1),3,-,-,-,-,-,-,-,-,7.01
Ademola Lookman,RasenBallsport Leipzig,21,"AM(CLR),FW",7(4),576,0.5,0.2,1.1,-,0.2,-,-,-,7.01
Jonas Hector,FC Cologne,29,"D(L),DMC,M(L)",20,1761,2.4,1.4,1,0.1,2.5,1.1,0.3,-,7.00
Kai Havertz,Bayer Leverkusen,20,M(CR),22(8),2141,1.1,0.6,1,-,0.7,0.4,0.1,-,7.00
Jetro Willems,Eintracht Frankfurt,25,"D(L),DMC,M(L)",19(4),1670,2.4,0.9,1,-,2,0.7,-,-,7.00
Franck Ribéry,Bayern Munich,36,AM(L),15(5),1210,1,0.4,0.6,-,0.1,0.2,-,-,7.00
Sven Bender,Bayer Leverkusen,30,"D(C),M(C)",29,2350,1.8,1.7,0.7,0.5,4,0.3,0.7,-,7.00
Niklas Stark,Hertha Berlin,24,"D(C),DMC",25(1),2210,1.9,1.3,1,0.6,6.1,0.3,0.5,1,7.00
Davie Selke,Hertha Berlin,24,FW,19(8),1888,0.5,0.1,2.2,-,0.7,0.2,0.2,-,7.00
Kevin Volland,Bayer Leverkusen,26,"AM(CLR),FW",30(1),2599,0.7,0.1,1.9,-,1,0.5,-,-,6.99
Waldemar Anton,Hannover 96,22,"D(C),DMC",26(1),2278,2.4,1.4,0.7,0.4,3.8,0.9,1,-,6.99
Corentin Tolisso,Bayern Munich,24,"D(R),M(C)",17(9),1529,1.3,0.6,0.8,-,0.3,0.7,0.1,-,6.99
Kerem Demirbay,Hoffenheim,25,AM(C),13(6),1211,2,0.7,1.5,-,0.8,0.8,0.2,-,6.99
Christian Gentner,VfB Stuttgart,33,M(CLR),27,2412,3.4,1.3,2.1,-,1.6,1.5,0.2,-,6.99
Timo Baumgartl,VfB Stuttgart,23,D(C),29,2610,3,1.2,1.4,0.6,4,0.7,0.7,-,6.98
Mitchell Weiser,Hertha Berlin,25,"D(R),M(R)",23(1),1983,2.3,1.8,1.4,0.2,1.2,0.9,-,-,6.98
Florian Grillitsch,Hoffenheim,23,"DMC,M(L)",21(4),1895,2.7,1.6,1.2,-,0.9,0.9,0.1,-,6.98
Charles Aránguiz,Bayer Leverkusen,30,M(C),27,2307,2.8,1.8,1.5,0.1,0.9,1.1,0.2,-,6.98
Julian Brandt,Bayer Leverkusen,23,"M(CLR),FW",26(8),2337,0.7,0.5,0.4,-,0.3,0.5,-,-,6.98
Max Kruse,Werder Bremen,31,"M(CLR),FW",28(1),2455,0.6,0.4,0.5,-,0.1,0.6,-,-,6.97
Ante Rebic,Eintracht Frankfurt,25,"AM(CLR),FW",21(4),1764,1.5,0.2,2.2,-,0.5,0.7,0.1,-,6.96
Sandro Wagner,Bayern Munich,31,FW,8(6),722,0.6,0.1,1.6,-,0.1,-,-,-,6.96
Sébastien Haller,Eintracht Frankfurt,25,FW,26(5),2352,0.8,0.3,1.8,-,1.2,0.2,0.1,-,6.96
Daniel Opare,Augsburg,28,D(LR),17,1419,1.8,1.6,1.2,0.1,2.9,0.4,0.3,-,6.96
Benjamin Stambouli,Schalke 04,28,"D(C),M(C)",24(4),2195,3.4,2.3,1.6,0.2,2.5,0.9,0.3,1,6.96
Mathew Leckie,Hertha Berlin,28,AM(CLR),19(7),1854,1.3,0.7,1.7,-,1,0.6,0.1,-,6.96
Christoph Kramer,Borussia M.Gladbach,28,DMC,26(1),2162,3.3,1.6,1.7,0.1,1.3,1.4,0.1,-,6.96
Emiliano Insúa,VfB Stuttgart,30,"D(L),M(L)",24(1),2107,1.8,1.4,0.9,-,1.5,0.6,0.2,-,6.95
Felipe,Hannover 96,32,D(C),6,458,1.3,1.8,1.5,-,4.3,0.3,0.5,-,6.95
John Brooks,Wolfsburg,26,D(C),9,729,2.2,1.1,1,0.8,4.8,0.7,0.6,-,6.95
Dominic Maroh,FC Cologne,32,D(C),10(1),914,2,1.9,0.5,0.5,6.1,0.3,0.8,-,6.95
Nils Petersen,Freiburg,30,FW,24(8),2240,0.8,0.5,0.5,-,1,0.5,0.1,-,6.95
David Alaba,Bayern Munich,27,"D(CL),M(C)",17(6),1551,1,0.4,0.4,0.1,0.8,0.3,0.3,-,6.95
Jonathan Tah,Bayer Leverkusen,23,D(C),27(1),2427,1.7,1.2,0.5,0.5,3.9,0.3,0.5,-,6.95
Danny Latza,Mainz 05,29,DMC,27(2),2356,2.3,0.9,1.8,-,1.4,1.4,0.3,-,6.95
Lucas Alario,Bayer Leverkusen,26,FW,17(6),1546,0.7,0.2,1.7,0.1,0.6,0.2,0.2,-,6.95
Erik Thommy,VfB Stuttgart,24,AM(CLR),14,993,1.4,0.6,0.9,-,0.3,0.6,0.1,-,6.94
Abdou Diallo,Mainz 05,23,D(CL),27,2416,2.8,1.9,2.2,0.3,2.4,0.4,0.5,-,6.94
Marco Friedl,Bayern Munich,21,D(CL),0(1),45,-,1,-,-,-,-,-,-,6.94
Admir Mehmedi,Bayer Leverkusen,28,"M(CLR),FW",8(4),701,1.7,1.1,1.8,-,0.1,0.8,-,-,6.94
David Abraham,Eintracht Frankfurt,32,D(C),27,2304,1.5,1.5,0.4,1.2,5,0.3,0.6,1,6.94
Jannik Vestergaard,Borussia M.Gladbach,26,D(C),32,2880,1.8,1.3,0.8,0.7,5,0.5,1.2,1,6.93
Timo Hübers,Hannover 96,22,D(C),5,450,2.2,1.8,1.8,0.4,5.4,1.2,1.6,-,6.93
Kyriakos Papadopoulos,Hamburger SV,27,D(C),29,2610,2.1,1.5,1.2,0.8,6,1,1.2,-,6.93
Ömer Toprak,Borussia Dortmund,29,D(C),22(4),2018,1.4,0.8,0.8,1.1,3.8,0.1,0.6,-,6.93
Josuha Guilavogui,Wolfsburg,28,M(C),27(2),2407,2.2,2.3,1.5,-,2.1,0.7,0.3,1,6.93
Pavel Kaderábek,Hoffenheim,27,"D(R),M(R)",24(4),2197,1.6,1.2,1.3,0.2,1.4,0.9,0.3,-,6.92
Sokratis,Borussia Dortmund,31,D(CR),28(2),2376,2.2,1,1.3,1,3.5,0.3,0.4,-,6.92
Matthias Ginter,Borussia M.Gladbach,25,"D(CR),DMC",34,3060,1.4,1.2,0.3,0.5,3.1,0.3,0.5,-,6.92
Koen Casteels,Wolfsburg,27,GK,34,3060,0.1,-,-,-,1.2,-,-,-,6.92
Nico Elvedi,Borussia M.Gladbach,22,D(CLR),33,2916,2,1.5,0.6,0.2,2.9,0.5,0.3,-,6.92
Amine Harit,Schalke 04,22,AM(CLR),23(8),2053,1.3,0.6,0.6,-,0.3,0.8,-,-,6.92
Kevin Kampl,RasenBallsport Leipzig,28,M(CLR),22(4),2021,1.6,1.3,1.2,-,1,0.9,0.1,-,6.91
William,Wolfsburg,24,"D(LR),M(R)",19(3),1614,3.5,2.1,1.3,-,2.3,1.8,0.3,-,6.91
Bernardo,RasenBallsport Leipzig,24,D(LR),15(3),1350,2.4,1,1.6,0.3,4.3,0.6,0.3,-,6.90
Linton Maina,Hannover 96,20,AM(L),0(2),31,0.5,0.5,-,-,-,-,-,-,6.90
Niklas Süle,Bayern Munich,23,D(C),20(7),1919,1.3,1.2,0.6,0.4,2,0.3,0.6,3,6.90
Theodor Gebre Selassie,Werder Bremen,32,"D(LR),DMC,M(R)",31(1),2829,2.1,1.6,1.4,0.2,2.2,0.7,0.1,-,6.90
Timo Werner,RasenBallsport Leipzig,23,"AM(L),FW",28(4),2493,0.5,0.2,0.8,-,0.3,0.5,-,-,6.90
Jean-Kévin Augustin,RasenBallsport Leipzig,22,"AM(R),FW",14(11),1273,0.6,0.2,0.8,-,0.2,0.2,-,-,6.89
Paul Jaeckel,Wolfsburg,20,"D(C),DMC",3,270,1,0.3,1,-,2.7,0.3,0.7,-,6.89
Mario Götze,Borussia Dortmund,27,"M(CLR),FW",19(4),1608,2.2,0.3,1.1,-,0.3,0.9,-,-,6.88
Jadon Sancho,Borussia Dortmund,19,AM(LR),7(5),684,0.4,0.4,0.1,-,0.2,0.4,-,-,6.88
Wendell,Bayer Leverkusen,25,"D(CL),M(L)",26,2121,2.1,1.1,1.2,0.1,1.8,1,0.3,-,6.88
Diego Demme,RasenBallsport Leipzig,27,DMC,25(5),2288,2.7,1.6,1.5,-,0.9,1.3,0.1,-,6.87
Rafinha,Bayern Munich,33,"D(CLR),M(R)",19(8),1843,1.4,1.2,0.9,0.1,0.9,0.7,0.2,-,6.87
Ron-Robert Zieler,VfB Stuttgart,30,GK,34,3060,-,-,-,-,0.9,-,-,-,6.86
Philipp Bargfrede,Werder Bremen,30,"D(C),M(C)",23(4),1871,2.2,1.7,1.6,0.2,1.9,0.8,0.4,-,6.86
Felix Klaus,Hannover 96,26,AM(CLR),25(3),1991,1.7,0.3,1,-,0.8,1,0.1,-,6.86
Anastasios Donis,VfB Stuttgart,22,"AM(CR),FW",11(7),951,1.1,0.5,1,-,0.3,0.1,-,-,6.86
Holger Badstuber,VfB Stuttgart,30,D(CL),24(3),2169,1.6,1.5,0.8,0.7,3.9,0.6,0.5,-,6.86
Daniel Baier,Augsburg,35,M(C),29,2543,2.9,2,1.6,-,1.3,1.3,0.2,-,6.86
Marvin Plattenhardt,Hertha Berlin,27,"D(L),M(L)",33,2970,1.7,0.8,1,0.3,2.2,0.5,0.2,-,6.85
Jeffrey Gouweleeuw,Augsburg,27,D(C),27,2386,2.1,2,1.1,0.3,4.5,0.5,0.4,-,6.85
Jirí Pavlenka,Werder Bremen,27,GK,34,3060,-,-,-,-,1.2,-,-,-,6.85
Sebastian Rudy,Bayern Munich,29,"D(R),M(CR)",16(9),1509,2,0.7,0.8,-,0.2,1.1,-,-,6.84
Jordan Torunarigha,Hertha Berlin,21,D(C),7(5),661,1.5,1.9,0.8,0.4,3.5,0.5,1.1,-,6.84
Emil Forsberg,RasenBallsport Leipzig,27,AM(CLR),15(6),1374,1.1,0.4,0.8,-,0.2,0.6,-,-,6.84
Martin Hinteregger,Augsburg,26,D(C),29(1),2655,2.6,1.6,0.9,0.3,4.3,0.5,0.9,-,6.84
Stefan Posch,Hoffenheim,22,D(C),9,758,3.1,2.7,1.2,0.7,2.6,1.3,0.4,-,6.84
Zlatko Junuzovic,Werder Bremen,31,M(CLR),17(7),1636,1.5,0.8,1.1,-,0.4,0.8,0.1,-,6.84
Kevin-Prince Boateng,Eintracht Frankfurt,32,"M(CLR),FW",27(4),2361,1.1,0.7,2.3,0.1,1.4,0.8,0.2,-,6.83
Lewis Holtby,Hamburger SV,28,M(CLR),13(3),1197,2.8,0.6,1.3,-,0.6,0.9,0.1,-,6.82
Julian Baumgartlinger,Bayer Leverkusen,31,DMC,17(5),1398,2.1,0.8,0.8,-,1,0.7,0.1,-,6.82
Bruma,RasenBallsport Leipzig,24,AM(CLR),16(12),1611,0.6,0.4,0.4,-,0.3,0.3,0.1,-,6.82
Santiago Ascacibar,VfB Stuttgart,22,DMC,27(2),2386,3.1,1.6,1.2,-,1.2,1.1,0.3,-,6.82
Dennis Diekmeier,Hamburger SV,29,"D(R),M(R)",22,1870,2.1,0.7,0.8,0.2,1.8,0.5,0.5,-,6.82
Julian Weigl,Borussia Dortmund,23,"D(C),DMC",20(5),1943,2.8,1.4,1.6,0.2,1,1,0.2,-,6.82
Timothy Chandler,Eintracht Frankfurt,29,"D(R),M(LR)",22(2),1893,1.1,1.4,1,0.1,1.8,0.3,-,-,6.82
Stefan Bell,Mainz 05,27,D(CR),24(1),2176,1.4,1.8,1.8,0.4,4.6,0.5,0.7,1,6.81
Matija Nastasic,Schalke 04,26,D(C),22(2),1991,2,1.5,1.5,0.3,3.2,0.4,0.9,-,6.81
Janik Haberer,Freiburg,25,"M(CLR),FW",31(2),2758,1.9,0.9,2.2,0.1,1.2,1,-,-,6.81
Fin Bartels,Werder Bremen,32,"M(CLR),FW",14,1129,0.9,0.5,0.7,-,0.1,0.6,0.1,-,6.81
