Rank,Team,Played,Win,Draw,Loss,Goals Scored,Goals Allowed,Goal Difference,Points
1,Barcelona,38,31,6,1,98,24,+74,99
2,Real Madrid,38,31,3,4,102,35,+67,96
3,Valencia,38,21,8,9,59,40,+19,71
4,Sevilla,38,19,6,13,65,49,+16,63
5,Mallorca,38,18,8,12,59,44,+15,62
6,Getafe,38,17,7,14,58,48,+10,58
7,Villarreal,38,16,8,14,58,57,+1,56
8,Athletic Bilbao,38,15,9,14,50,53,-3,54
9,Atletico Madrid,38,13,8,17,57,61,-4,47
10,Deportivo La Coruna,38,13,8,17,35,49,-14,47
11,Espanyol,38,11,11,16,29,46,-17,44
12,Osasuna,38,11,10,17,37,46,-9,43
13,Almeria,38,10,12,16,43,55,-12,42
14,Real Zaragoza,38,10,11,17,46,64,-18,41
15,Sporting Gijon,38,9,13,16,36,51,-15,40
16,Racing Santander,38,9,12,17,42,59,-17,39
17,Malaga,38,7,16,15,42,48,-6,37
18,Tenerife,38,9,9,20,40,74,-34,36
19,Real Valladolid,38,7,15,16,37,62,-25,36
20,Xerez,38,8,10,20,38,66,-28,34